comparison_type,ssim,features2d,stage,link1_change,link2_change,ssim_exp,ssim_exp_scale,group
maps,100,100,2,JamerMejiaGarcia,JamerMejiaGarcia,0,0,2
maps,100,100,2,LauraMolina,LauraMolina,0,0,2
maps,19.1,33,2,RafaelCruz15,RafaelCruz15,80.9,0.809,2
maps,100,100,2,adcorredorm,adcorredorm,0,0,2
maps,100,100,2,ayperezc,ayperezc,0,0,2
maps,38.7,37.4,2,gimg1859,gimg1859,61.3,0.613,2
maps,49,36.2,2,jdgaitanf,jdgaitanf,51,0.51,2
maps,3.8,80,2,pahigueraf,pahigueraf,96.2,0.962,2
maps,100,100,2,sarguellesr,sarguellesr,0,0,2
complete,100,100,2,Acreed21,Acreed21,0,0,2
complete,25.4,100,2,Camiioo,Camiioo,74.6,0.746,2
complete,10.6,100,2,FredyRosero,FredyRosero,89.4,0.894,2
complete,100,100,2,JamerMejiaGarcia,JamerMejiaGarcia,0,0,2
complete,100,100,2,Jfcastroh,Jfcastroh,0,0,2
complete,100,100,2,LauraMolina,LauraMolina,0,0,2
complete,65.9,100,2,RafaelCruz15,RafaelCruz15,34.1,0.341,2
complete,100,100,2,adcorredorm,adcorredorm,0,0,2
complete,100,100,2,alebautis,alebautis,0,0,2
complete,100,100,2,ayperezc,ayperezc,0,0,2
complete,100,100,2,bfprietoc,bfprietoc,0,0,2
complete,100,100,2,biherrerap,biherrerap,0,0,2
complete,42.1,100,2,dahrojasca,dahrojasca,57.9,0.579,2
complete,59.2,100,2,davideperdomo,davideperdomo,40.8,0.408,2
complete,56.1,100,2,frnkbs,frnkbs,43.9,0.439,2
complete,100,100,2,gahormigag,gahormigag,0,0,2
complete,45.1,100,2,gimg1859,gimg1859,54.9,0.549,2
complete,100,100,2,ironhacktech2,ironhacktech2,0,0,2
complete,28.1,100,2,jannMorenoJ,jannMorenoJ,71.9,0.719,2
complete,43,72.5,2,jdgaitanf,jdgaitanf,57,0.57,2
complete,58.1,94.3,2,nikolasto,nikolasto,41.9,0.419,2
complete,35.3,57,2,pahigueraf,pahigueraf,64.7,0.647,2
complete,81,100,2,sarguellesr,sarguellesr,19,0.19,2
complete,100,100,2,uxjudges1,uxjudges1,0,0,2
complete,100,100,2,uxjudges,uxjudges,0,0,2
complete,100,100,2,vvargasd,vvargasd,0,0,2
simple,99.9,100,2,Acreed21,Acreed21,0.1,0.001,2
simple,46.1,100,2,Camiioo,Camiioo,53.9,0.539,2
simple,33.8,65.6,2,FredyRosero,FredyRosero,66.2,0.662,2
simple,100,100,2,JamerMejiaGarcia,JamerMejiaGarcia,0,0,2
simple,100,100,2,Jfcastroh,Jfcastroh,0,0,2
simple,100,100,2,LauraMolina,LauraMolina,0,0,2
simple,90.2,100,2,RafaelCruz15,RafaelCruz15,9.8,0.098,2
simple,100,100,2,adcorredorm,adcorredorm,0,0,2
simple,100,100,2,alebautis,alebautis,0,0,2
simple,100,100,2,ayperezc,ayperezc,0,0,2
simple,100,100,2,bfprietoc,bfprietoc,0,0,2
simple,100,100,2,biherrerap,biherrerap,0,0,2
simple,42.1,100,2,dahrojasca,dahrojasca,57.9,0.579,2
simple,56.1,100,2,frnkbs,frnkbs,43.9,0.439,2
simple,100,100,2,gahormigag,gahormigag,0,0,2
simple,100,100,2,gimg1859,gimg1859,0,0,2
simple,100,100,2,ironhacktech2,ironhacktech2,0,0,2
simple,28.1,100,2,jannMorenoJ,jannMorenoJ,71.9,0.719,2
simple,49.5,71.3,2,jdgaitanf,jdgaitanf,50.5,0.505,2
simple,72,94.3,2,nikolasto,nikolasto,28,0.28,2
simple,53.9,100,2,pahigueraf,pahigueraf,46.1,0.461,2
simple,86.3,100,2,sarguellesr,sarguellesr,13.7,0.137,2
simple,100,100,2,uxjudges1,uxjudges1,0,0,2
simple,100,100,2,uxjudges,uxjudges,0,0,2
simple,100,100,2,vvargasd,vvargasd,0,0,2
maps,100,100,3,Acreed21,Acreed21,0,0,2
maps,36.3,100,3,Camiioo,Camiioo,63.7,0.637,2
maps,99.3,100,3,FredyRosero,FredyRosero,0.7,0.007,2
maps,100,100,3,JamerMejiaGarcia,JamerMejiaGarcia,0,0,2
maps,100,100,3,LauraMolina,LauraMolina,0,0,2
maps,100,100,3,RafaelCruz15,RafaelCruz15,0,0,2
maps,100,100,3,adcorredorm,adcorredorm,0,0,2
maps,27.8,39.2,3,ayperezc,ayperezc,72.2,0.722,2
maps,100,100,3,biherrerap,biherrerap,0,0,2
