,type,dist_search,stage
1007,Visual Search,0.01,3
1008,Visual Search,0.01,3
1009,Visual Search,0.656,3
1010,Visual Search,0.005,3
1011,Visual Search,0.211,3
1012,Visual Search,0.09,3
1013,Visual Search,0.01,3
1014,Visual Search,0.423,3
1015,Visual Search,0.01,3
1016,Visual Search,0.01,3
1017,Visual Search,0.654,3
1018,Visual Search,0.082,3
1019,Visual Search,0.06,3
1020,Visual Search,0.449,4
1021,Visual Search,0.01,4
1022,Visual Search,0.001,4
1023,Visual Search,0.281,4
1024,Visual Search,0.242,4
1025,Visual Search,0.01,4
1026,Visual Search,0.063,4
1027,Visual Search,0.01,4
1028,Visual Search,0.005,4
1029,Visual Search,0.199,4
1030,Visual Search,0.01,4
1031,Visual Search,0.134,4
1032,Visual Search,0.01,4
1033,Visual Search,0.01,4
1034,Visual Search,0.1,4
1035,Visual Search,0.109,4
1036,Visual Search,0.527,4
1037,Visual Search,0.128,4
1038,Visual Search,0.544,4
1039,Visual Search,0.01,4
1040,Visual Search,0.748,4
1041,Visual Search,0.001,4
1042,Visual Search,0.013,4
