,Unnamed: 0,link1_change,link2_change,ssim_exp,stage,comparison_type,group,ssim_exp_scale,ssim_exp_new
130,130,federgolo,federgolo,19.099999999999994,3,complete,1,,0.191
131,131,garayf,garayf,0.2000000000000028,3,complete,1,,0.002
132,132,jaleonro,jaleonro,13.799999999999995,3,complete,1,,0.138
133,133,jsalcinar,jsalcinar,9.299999999999995,3,complete,1,,0.093
134,134,jssanchezo,jssanchezo,0.0,3,complete,1,,0.0
135,135,nviverosb,nviverosb,0.2999999999999971,3,complete,1,,0.003
136,136,olimita,olimita,4.400000000000006,3,complete,1,,0.044
137,137,sebcamacho1703,sebcamacho1703,40.1,3,complete,1,,0.401
138,138,serbatero,serbatero,0.0,3,complete,1,,0.0
139,139,xFortich,xFortich,32.900000000000006,3,complete,1,,0.329
140,140,yaochoal,yaochoal,0.2999999999999971,3,complete,1,,0.003
141,141,Alekzu,Alekzu,71.2,4,complete,1,,0.712
142,142,Anvido,Anvido,0.0,4,complete,1,,0.0
143,143,Biopeligro,Biopeligro,90.3,4,complete,1,,0.903
144,144,Caadiazsi,Caadiazsi,0.0,4,complete,1,,0.0
145,145,DavidsMartinez,DavidsMartinez,0.0,4,complete,1,,0.0
146,146,DiegoAraque1207,DiegoAraque1207,12.700000000000005,4,complete,1,,0.127
147,147,GabrielUnal,GabrielUnal,54.9,4,complete,1,,0.549
148,148,Gavnic,Gavnic,68.4,4,complete,1,,0.684
149,149,Gusgal03,Gusgal03,0.0,4,complete,1,,0.0
150,150,Joacampora,Joacampora,6.299999999999997,4,complete,1,,0.063
151,151,Juankmilo97,Juankmilo97,15.599999999999994,4,complete,1,,0.156
152,152,Jufcardenasmo,Jufcardenasmo,75.9,4,complete,1,,0.759
153,153,Ozai98,Ozai98,0.0,4,complete,1,,0.0
154,154,Sariilan,Sariilan,0.0,4,complete,1,,0.0
155,155,bsdiaza,bsdiaza,14.599999999999994,4,complete,1,,0.146
156,156,casc3798,casc3798,52.4,4,complete,1,,0.524
157,157,diefrodriguezcha,diefrodriguezcha,73.5,4,complete,1,,0.735
158,158,facuellarg,facuellarg,0.0,4,complete,1,,0.0
159,159,federgolo,federgolo,8.5,4,complete,1,,0.085
160,160,garayf,garayf,0.0,4,complete,1,,0.0
161,161,jaleonro,jaleonro,15.200000000000005,4,complete,1,,0.152
162,162,jsalcinar,jsalcinar,13.799999999999995,4,complete,1,,0.138
163,163,jssanchezo,jssanchezo,0.0,4,complete,1,,0.0
164,164,nviverosb,nviverosb,0.9000000000000057,4,complete,1,,0.009
165,165,olimita,olimita,1.7000000000000028,4,complete,1,,0.017
