,type,stage,dist_search
969,novel,2,0.99
970,novel,2,0.8333333333333334
971,novel,3,0.99
972,novel,3,0.99
973,novel,3,0.01
974,novel,3,0.7
975,novel,3,0.99
976,novel,3,0.8
977,novel,3,0.01
978,novel,3,0.01
979,novel,3,0.01
980,novel,3,0.99
981,novel,3,0.8
982,novel,3,0.01
983,novel,3,0.01
984,novel,3,0.5
985,novel,3,0.01
986,novel,3,0.99
987,novel,3,0.99
988,novel,3,0.99
989,novel,3,0.8
990,novel,3,0.01
991,novel,3,0.01
992,novel,3,0.01
993,novel,3,0.1666666666666666
994,novel,3,0.4285714285714286
995,novel,3,0.01
996,novel,3,0.99
997,novel,3,0.6666666666666667
998,novel,3,0.75
999,novel,3,0.99
1000,novel,3,0.01
1001,novel,3,0.3333333333333333
1002,novel,3,0.01
1003,novel,3,0.01
1004,novel,3,0.6
1005,novel,3,0.75
1006,novel,3,0.5714285714285714
1007,novel,4,0.99
1008,novel,4,0.99
1009,novel,4,0.01
1010,novel,4,0.01
1011,novel,4,0.9090909090909092
1012,novel,4,0.01
1013,novel,4,0.01
1014,novel,4,0.01
1015,novel,4,0.8571428571428572
1016,novel,4,0.01
1017,novel,4,0.01
1018,novel,4,0.99
1019,novel,4,0.01
1020,novel,4,0.5
1021,novel,4,0.01
1022,novel,4,0.8
1023,novel,4,0.3333333333333333
1024,novel,4,0.01
1025,novel,4,0.6666666666666667
1026,novel,4,0.8
1027,novel,4,0.01
1028,novel,4,0.01
1029,novel,4,0.3333333333333333
1030,novel,4,0.01
1031,novel,4,0.01
1032,novel,4,0.01
1033,novel,4,0.2857142857142857
1034,novel,4,0.99
1035,novel,4,0.4285714285714286
1036,novel,4,0.5
1037,novel,4,0.99
1038,novel,4,0.6666666666666667
1039,novel,4,0.375
1040,novel,4,0.01
1041,novel,4,0.01
1042,novel,4,0.99
1043,novel,4,0.75
1044,novel,4,0.4
1045,novel,4,0.01
1046,novel,4,0.6
1047,novel,4,0.01
1048,novel,4,0.4285714285714286
