,username,dist_search,stage,type
627,nbraunec,0.527,4,simple
628,nbraunec,0.527,4,simple
629,noah-curran,0.092,4,simple
630,noah-curran,0.092,4,simple
631,sanjitsama,0.544,4,simple
632,sanjitsama,0.544,4,simple
633,shivans,0.01,4,simple
634,shivans,0.01,4,simple
635,viswapurdue,0.002,4,simple
636,viswapurdue,0.002,4,simple
637,whipplem123,0.013,4,simple
638,whipplem123,0.013,4,simple
639,FredyRosero,0.96,1,maps
640,LauraMolina,0.728,1,maps
641,RafaelCruz15,0.788,1,maps
642,davideperdomo,0.734,1,maps
643,jannMorenoJ,0.563,1,maps
644,pahigueraf,0.764,1,maps
645,Acreed21,0.713,1,complete
646,Camiioo,0.507,1,complete
647,FredyRosero,0.96,1,complete
648,JamerMejiaGarcia,0.607,1,complete
649,Jfcastroh,0.01,1,complete
650,LauraMolina,0.642,1,complete
651,RafaelCruz15,0.678,1,complete
652,adcorredorm,0.627,1,complete
653,alebautis,0.01,1,complete
654,ayperezc,0.479,1,complete
655,bfprietoc,0.01,1,complete
656,biherrerap,0.883,1,complete
657,dahrojasca,0.84,1,complete
658,davideperdomo,0.561,1,complete
659,frnkbs,0.439,1,complete
660,gahormigag,0.01,1,complete
661,ironhacktech2,0.01,1,complete
662,jannMorenoJ,0.049,1,complete
663,jdgaitanf,0.942,1,complete
664,nikolasto,0.58,1,complete
665,pahigueraf,0.659,1,complete
666,sarguellesr,0.724,1,complete
667,uxjudges1,0.985,1,complete
668,uxjudges,0.01,1,complete
669,vvargasd,0.01,1,complete
670,Acreed21,0.588,1,simple
671,Camiioo,0.539,1,simple
672,FredyRosero,0.01,1,simple
673,JamerMejiaGarcia,0.654,1,simple
674,Jfcastroh,0.01,1,simple
675,LauraMolina,0.477,1,simple
676,RafaelCruz15,0.32,1,simple
677,adcorredorm,0.416,1,simple
678,alebautis,0.01,1,simple
679,ayperezc,0.39,1,simple
680,bfprietoc,0.01,1,simple
681,biherrerap,0.938,1,simple
682,dahrojasca,0.84,1,simple
683,davideperdomo,0.326,1,simple
684,frnkbs,0.439,1,simple
685,gahormigag,0.01,1,simple
686,ironhacktech2,0.01,1,simple
687,jannMorenoJ,0.011,1,simple
688,jdgaitanf,0.657,1,simple
689,nikolasto,0.566,1,simple
690,pahigueraf,0.01,1,simple
691,sarguellesr,0.824,1,simple
692,uxjudges1,0.985,1,simple
693,uxjudges,0.01,1,simple
694,vvargasd,0.01,1,simple
695,FredyRosero,0.945,2,maps
696,JamerMejiaGarcia,0.01,2,maps
697,LauraMolina,0.01,2,maps
698,RafaelCruz15,0.809,2,maps
699,adcorredorm,0.01,2,maps
700,ayperezc,0.01,2,maps
701,gimg1859,0.613,2,maps
702,jdgaitanf,0.51,2,maps
703,pahigueraf,0.962,2,maps
704,sarguellesr,0.01,2,maps
705,Acreed21,0.01,2,complete
706,Camiioo,0.746,2,complete
707,FredyRosero,0.894,2,complete
708,JamerMejiaGarcia,0.01,2,complete
709,Jfcastroh,0.01,2,complete
710,LauraMolina,0.01,2,complete
711,RafaelCruz15,0.341,2,complete
712,adcorredorm,0.01,2,complete
713,alebautis,0.01,2,complete
714,ayperezc,0.01,2,complete
715,bfprietoc,0.01,2,complete
716,biherrerap,0.01,2,complete
717,dahrojasca,0.579,2,complete
718,davideperdomo,0.408,2,complete
719,frnkbs,0.439,2,complete
720,gahormigag,0.01,2,complete
721,gimg1859,0.549,2,complete
722,ironhacktech2,0.01,2,complete
723,jannMorenoJ,0.719,2,complete
724,jdgaitanf,0.57,2,complete
725,nikolasto,0.419,2,complete
726,pahigueraf,0.647,2,complete
727,sarguellesr,0.19,2,complete
728,uxjudges1,0.01,2,complete
729,uxjudges,0.01,2,complete
730,vvargasd,0.01,2,complete
731,Acreed21,0.001,2,simple
732,Camiioo,0.539,2,simple
733,FredyRosero,0.662,2,simple
734,JamerMejiaGarcia,0.01,2,simple
735,Jfcastroh,0.01,2,simple
736,LauraMolina,0.01,2,simple
737,RafaelCruz15,0.098,2,simple
738,adcorredorm,0.01,2,simple
739,alebautis,0.01,2,simple
